Category,Product Link,Product Name,Price,Quantity
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile13_copy_c.html,Baby avocado's,N/A,3 stuks.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_26893064.html,Snoeptomaatjes,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_13113806_1658957956.html,Punt paprika,N/A,500 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_27723712.html,Spruiten,N/A,750 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile7_copy_co.html,Sjalot,N/A,350 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile7_copy_co_202272573.html,Uien,N/A,2 kg
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile7_copy_co_292712949.html,Uien,N/A,750 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile7_copy.html,Rode uien,N/A,750 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile19_copy.html,Knoflook,N/A,2 stuks
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile19.html,Zomermix paddenstoelen,N/A,Bak 175 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile13_copy_1586636183.html,Kastanjechampignons,N/A,250 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_1736491235.html,Gesneden kastanje champignons,N/A,125 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile13_copy_3.html,Champignons,N/A,250 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile13_copy_3_1284668446.html,Champignons,N/A,400 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_36688333_199854328.html,Krul peterselie,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_36688333.html,Platte peterselie,N/A,20 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_36688333_575174664.html,Koriander,N/A,20 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_36688333_1296956700.html,Munt,N/A,30 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_36688333_2082360662.html,Selderij,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_copy_183059096.html,Basilicum in pot,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile.html,Bieslook in pot,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_992746242.html,Pepers,N/A,2 stuks
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile_1516960109.html,Herfstmix paddenstoelen,N/A,200 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles/par/articletile13_copy_3_1772407834.html,Oesterzwammen,N/A,150 g
"Vers gesneden groenten, fruit en sla",https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/vers-gesneden-groenten-fruit-en-sla/jcr:content/par/tiles_39526258/par/articletile_copy.html,Gebroken sperziebonen,2.19,400-Per zak
