Category,Product Link,Product Name,Price,Quantity
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelcompote%20extra%20kwaliteit/49491,1 de Beste Appelcompote extra kwaliteit,0.75,350 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%200%25%20suikers/52745,1 de Beste Appelmoes 0% suikers,0.92,4 stuks
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%200%25%20toegevoegde%20suikers/59275,1 de Beste Appelmoes 0% toegevoegde suikers,1.49,710 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/hak%20appelmoes%20authentiek%20extra%20kwaliteit/77001,Hak Appelmoes authentiek extra kwaliteit,2.75,710 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%20extra%20kwaliteit/77259,1 de Beste Appelmoes extra kwaliteit,0.99,710 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%20zonder%20suiker/82137,1 de Beste Appelmoes zonder suiker,2.19,"1,2 kg"
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20rabarbercompote/101212,1 de Beste Rabarbercompote,1.74,350 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/del%20monte%20fruitcocktail%20op%20lichte%20siroop/9536,Del Monte Fruitcocktail op lichte siroop,3.15,825 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20fruitcocktail/46258,1 de Beste Fruitcocktail,1.69,410 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20fruitcocktail%20tropisch%20op%20siroop/53155,1 de Beste Fruitcocktail tropisch op siroop,1.99,825 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20halve%20perziken%20op%20siroop/102438,1 de Beste Halve perziken op siroop,1.55,410 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20halve%20perziken%20op%20siroop/103589,1 de Beste Halve perziken op siroop,1.87,820 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/key%20aardbeien%20op%20siroop/2870,Key Aardbeien op siroop,1.65,410 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/aarts%20stoofperen/3290,Aarts Stoofperen,2.59,560 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/fairtrade%20jackfruit/55735,Fairtrade Jackfruit,2.99,550 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20knijpfruit%20appel-banaan/63096,1 de Beste Knijpfruit appel-banaan,1.75,360 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/five%20elephants%20lychees%20op%20lichte%20siroop/63758,Five Elephants Lychees op lichte siroop,1.99,567 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20knijpfruit%20appel%2faardbei/64005,1 de Beste Knijpfruit appel/aardbei,1.79,360 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20mandarijnen%20op%20siroop/79534,1 de Beste Mandarijnen op siroop,1.15,310 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/dole%20mangostukjes%20op%20sap/97120,Dole Mangostukjes op sap,3.99,452 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/del%20monte%20mango%20schijven%20op%20lichte%20siroop/102939,Del Monte Mango schijven op lichte siroop,2.39,425 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20kersen%20zonder%20pit/103750,1 de Beste Kersen zonder pit,1.89,700 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/bomaja%20dadels%20medjoul/3248,Bomaja Dadels medjoul,7.99,1 kg
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/pruimen%20zonder%20pit%20ready%20to%20eat/46138,Pruimen zonder pit ready to eat,2.99,250 g
