product_name,product_price,product_link,product_quantity
CEREN PISTACHE GEPELD,4.19,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-pistache-gepeld-100gr_8716238177170,100GR
CEREN POMPOENPITTEN,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-pompoenpitten-250g_8697420694890,250G
CEREN SARI LEBLEBI,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-sari-leblebi-200g_8697420690830,200G
CEREN SOYULMUS BADEM ,4.49,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-soyulmus-badem-250gr_8697420691189,250GR
CEREN WALNOTEN 200G,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-walnoten-200g-xl_8711744032647,XL
CHAKRA CHILLI PAPAD,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/chakra-chilli-papad-100g_8904064638372,100G
CHAKRA MADRAS PAPAD,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/chakra-madras-papad-100g_8904064603882,100G
CHAKRA SESAME BALLS,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/chakra-sesame-balls-100g_8904064602274,100G
CHAMPIGNONS,5.89,https://anamarket.uwbuurtwinkel.nl/product/en/champignons-p-kg_25001983,P/KG
CHAN'S MASSALA,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/chan-s-massala-80g_8713344900807,80G
CHAOKOH KOKOSMELK,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/chaokoh-kokosmelk-250ml_8850367100019,250ML
CHEF PALMSUIKER,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/chef-palmsuiker-500g_093856999918,500G
CHEF'S CHOICE GR CURRY,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/chef-s-choice-gr-curry-400g_093856997266,400G
CHEF'S CHOICE RED CURRY,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/chef-s-choice-red-curry-400g_093856997228,400G
CHEF'S CHOISE PALMSUIKER,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/chef-s-choise-palmsuiker-240g_093856990922,240G
CHOM XANH GROENE RIJST,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/chom-xanh-groene-rijst-200g_8936037050201,200G
