product_name,product_link,product_category,product_price,product_quantity
Jumbo Biologisch Ongebrande Hazelnoten 175g,,aardappelen_groente_fruit,3.74,kilo
Jumbo Taugé 250g,,aardappelen_groente_fruit,1.95,kilo
Hak Rode Kool 355g,,aardappelen_groente_fruit,2.05,kilo
Jumbo Aardappelen Krieltjes 1kg,,aardappelen_groente_fruit,2.49,kilo
Jumbo Veldsla 85g,,aardappelen_groente_fruit,1.23,kilo
Jumbo Groene Asperges 350g,,aardappelen_groente_fruit,4.99,kilo
Jumbo Paksoi,,aardappelen_groente_fruit,1.39,stuk
Jumbo Rode Kool met Appel 680g,,aardappelen_groente_fruit,0.69,kilo
Jumbo Vers Sap Sinaasappel 500ML,,aardappelen_groente_fruit,2.18,liter
Jumbo Rode Pepers Mild 2 Stuks,,aardappelen_groente_fruit,1.09,stuk
Jumbo Mango Biologisch,,aardappelen_groente_fruit,2.29,stuk
Jumbo Paprika Geel,,aardappelen_groente_fruit,0.99,stuk
"Jumbo Vers Sap Appel, Peer & Rood Fruit 1L",,aardappelen_groente_fruit,3.79,liter
Jumbo Roerbakmix Hollands 400g,,aardappelen_groente_fruit,2.39,kilo
Jumbo Krieltjes 500g,,aardappelen_groente_fruit,1.15,kilo
Jumbo Vriesverse Perzik Partjes 250g,,aardappelen_groente_fruit,1.95,kilo
Jumbo Biologische Bloemkool 1 Stuk,,aardappelen_groente_fruit,2.49,stuk
Jumbo Minikrieltjes Bistro 425g,,aardappelen_groente_fruit,1.04,kilo
Jumbo Botersla 100g,,aardappelen_groente_fruit,2.45,kilo
Jumbo Roerbakmix Fijn 400g,,aardappelen_groente_fruit,2.49,kilo
Jumbo Appel Druif Mango 175g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Waspeen 500g,,aardappelen_groente_fruit,0.99,kilo
Hak Bruine Bonen 720g,,aardappelen_groente_fruit,3.03,kilo
Jumbo Vastkokende Rode Aardappel 3kg,,aardappelen_groente_fruit,5.29,kilo
Jumbo Little Gem Romaine Sla 200g,,aardappelen_groente_fruit,2.89,kilo
Jumbo Gele Uien Biologisch 500g,,aardappelen_groente_fruit,0.99,kilo
Jumbo Sperziebonen Biologisch 400g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Chinese Kool,,aardappelen_groente_fruit,1.85,stuk
Jumbo Roerbakmix Thaise Stijl 400g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Kastanjechampignon & Broccoli Ovengroente 600g,,aardappelen_groente_fruit,3.91,kilo
Jumbo Groene Salade Hollandse Stijl 275g,,aardappelen_groente_fruit,4.99,kilo
Jumbo Fles Pompoen Biologisch,,aardappelen_groente_fruit,4.25,stuk
Jumbo Medjoul Dadels 250g,,aardappelen_groente_fruit,3.42,kilo
Jumbo Biologisch Voorgekookte Maïskolven 2 Stuks,,aardappelen_groente_fruit,2.69,stuk
Jumbo Biologisch Rode Uien 450g,,aardappelen_groente_fruit,1.29,kilo
